id,uf,nre,municipio,codigo_inep,escola,dependencia_administrativa,localizacao,localidade_diferenciada,endereco,telefone,categoria_escola_privada,etapas_modalidade_ensino_oferecidas,outras_ofertas_educacionais,apmf_cnpj
7972,PR,PITANGA,Santa Maria do Oeste,41097653,MIGUEL ADUR FILHO E M C EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"RIO DO TIGRE, RIO DO TIGRE. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,"Educação Infantil, Ensino Fundamental",,
7973,PR,PITANGA,Santa Maria do Oeste,41097688,NOVA CONQUISTA E M C EF,Municipal,Rural,Área de assentamento,"ASSENT ARAGUAI-AGROVILA NOVA CONQUISTA, OURO VERDE. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,Ensino Fundamental,,
7974,PR,PITANGA,Santa Maria do Oeste,41378032,PAULO REGLUS NEVES FREIRE E M C EF,Municipal,Rural,Área de assentamento,"ASSENT ESTRELA DO OESTE, ESTRELA DO OESTE. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,Ensino Fundamental,,
7975,PR,PITANGA,Santa Maria do Oeste,41097793,SAO MANOEL C E C DE EF M,Estadual,Rural,A escola não está em área de localização diferenciada,"RUA PRINCIPAL SN, DIST SAO MANOEL. 85230-000 Santa Maria do Oeste - PR.",(42) 36445056,Não Informado,"Ensino Fundamental, Ensino Médio",Atividade Complementar,1241029000128
7976,PR,PITANGA,Santa Maria do Oeste,41152891,TEREZINHA CIONEK BINI C M E I PROFA,Municipal,Urbana,A escola não está em área de localização diferenciada,"DIST DE SAO JOSE SN, 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,Educação Infantil,,
7977,PR,PITANGA,Santa Maria do Oeste,41097866,UNIDOS DO OURO VERDE E M C EF,Municipal,Rural,Área de assentamento,"ASSENT ARAGUAI-AGROVILA INDEPENDENCIA, INDEPENDENCIA. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,Ensino Fundamental,,
7978,PR,PONTA GROSSA,Carambeí,41365445,BETANIA C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA SAO PAULO, 260 JD BRASILIA. 84145-000 Carambeí - PR.",(42) 32314613,Não Informado,Educação Infantil,,
7979,PR,PONTA GROSSA,Carambeí,41365437,BETEL C E I,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA DAS SAFIRAS, 120 CENTRO. 84145-000 Carambeí - PR.",(42) 32315326,Filantrópica,Educação Infantil,,
7980,PR,PONTA GROSSA,Carambeí,41148401,CANAA C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA 5 SN, 0 CENTRO. 84145-000 Carambeí - PR.",(42) 39151052,Não Informado,Educação Infantil,,
7981,PR,PONTA GROSSA,Carambeí,41059891,CARLOS VENTURA C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA DAS AZALEIAS SN, JD NOVO HORIZONTE. 84145-000 Carambeí - PR.",(42) 32311855,Não Informado,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",955056000108
7982,PR,PONTA GROSSA,Carambeí,41387007,DARLENE DE JP MOREIRA E E PROF EF,Estadual,Rural,A escola não está em área de localização diferenciada,"EST DE CATANDUVAS DE FORA SN, CATANDUVAS. 84145-000 Carambeí - PR.",(42) 99913272,Não Informado,Ensino Fundamental,Atendimento Educacional Especializado,8721039000100
7983,PR,PONTA GROSSA,Carambeí,41385608,ELO SAGRADO E EI EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA FLAMBOYANT, 200 JD ELDORADO. 84145-000 Carambeí - PR.",(42) 32315030,Particular,"Educação Infantil, Ensino Fundamental",,
7984,PR,PONTA GROSSA,Carambeí,41352718,EURICO BATISTA ROSAS C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA PLACIDO DE CASTRO, 500 BOQUEIRAO. 84145-000 Carambeí - PR.",(42) 32314163,Não Informado,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,2386681000101
7985,PR,PONTA GROSSA,Carambeí,41060032,EVANGELICA DE CARAMBEI - ESC - ENS FUND,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA TIBAGI, 227 CENTRO. 84145-000 Carambeí - PR.",(42) 32311254,Particular,"Educação Infantil, Ensino Fundamental",,
7986,PR,PONTA GROSSA,Carambeí,41384601,FATIMA A BOSA E M PROFA EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV PINHEIRO, 550 84145-000 Carambeí - PR.",(42) 32315788,Não Informado,"Educação Infantil, Ensino Fundamental",,
7987,PR,PONTA GROSSA,Carambeí,41060105,GERALDA H WELBERGEN E M PFA EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA TRES, 26 JD CRISTINA. 84145-000 Carambeí - PR.",(42) 32311436,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7988,PR,PONTA GROSSA,Carambeí,41060288,JOSE P NOVAES ROSAS E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA DAS SAFIRAS SN, CENTRO. 84145-000 Carambeí - PR.",(42) 32315524,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,
7989,PR,PONTA GROSSA,Carambeí,41060296,JULIA WANDERLEY C E EF M PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"AV DOS PIONEIROS, 1730 COLONIA. 84145-000 Carambeí - PR.",(42) 32312138,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",86802311000190
