id,value
5163,"Tintureiros, lavadeiros e afins, a máquina"
5164,"Lavadores e passadores de roupa, a măo"
5165,Trabalhadores dos serviços funerários
5166,Trabalhadores auxiliares dos serviços funerários
5167,Astrólogos e numerólogos
5168,Esotéricos e paranormais
5171,"Bombeiros, salva-vidas e afins"
5172,"Policiais, guardas-civis municipais e agentes de trânsito"
5173,Vigilantes e guardas de segurança
5174,"Porteiros, vigias e afins"
5191,Motociclistas e ciclistas de entregas rápidas
5192,Trabalhadores da coleta e seleçăo de material reciclável
5193,"Trabalhadores de serviços veterinários, de higiene e estética de animais domésticos"
5198,Profissionais do sexo
5199,Outros trabalhadores dos serviços
5201,Supervisores de vendas e de prestaçăo de serviços
5211,Operadores do comércio em lojas e mercados
5231,Instaladores de produtos e acessórios
5241,Vendedores em domicílio
5242,"Vendedores em bancas, quiosques e barracas"
5243,Vendedores ambulantes
6110,Produtores agropecuários em geral
6120,Produtores agrícolas polivalentes
6121,Produtores agrícolas na cultura de gramíneas
6122,Produtores agrícolas na cultura de plantas fibrosas
6123,Produtores agrícolas na olericultura
6124,Produtores agrícolas no cultivo de flores e plantas ornamentais
6125,Produtores agrícolas na fruticultura
6126,Produtores agrícolas na cultura de plantas estimulantes
6127,Produtores agrícolas na cultura de plantas oleaginosas
6128,Produtores de especiarias e de plantas aromáticas e medicinais
6130,Produtores em pecuária polivalente
6131,Produtores em pecuária de animais de grande porte
6132,Produtores em pecuária de animais de médio porte
6133,Produtores da avicultura e cunicultura
6134,Produtores de animais e insetos úteis
6201,Supervisores na exploraçăo agropecuária
6210,Trabalhadores agropecuários em geral
6220,Trabalhadores de apoio ŕ agricultura
6221,Trabalhadores agrícolas na cultura de gramíneas
6222,Trabalhadores agrícolas na cultura de plantas fibrosas
6223,Trabalhadores agrícolas na olericultura
6224,Trabalhadores agrícolas no cultivo de flores e plantas ornamentais
6225,Trabalhadores agrícolas na fruticultura
6226,Trabalhadores agrícolas nas culturas de plantas estimulantes
6227,Trabalhadores agrícolas na cultura de plantas oleaginosas
6228,Trabalhadores agrícolas da cultura de especiarias e de plantas aromáticas e medicinais
6230,Tratadores polivalentes de animais
6231,Trabalhadores na pecuária de animais de grande porte
6232,Trabalhadores na pecuária de animais de médio porte
6233,Trabalhadores na avicultura e cunicultura
6234,Trabalhadores na criaçăo de insetos e animais úteis
6301,Supervisores na área florestal e aqüicultura
6310,Pescadores polivalentes
6311,Pescadores profissionais artesanais de água doce
6312,Pescadores de água costeira e alto mar
6313,Criadores de animais aquáticos
6314,Trabalhadores de apoio ŕ pesca
6320,Trabalhadores florestais polivalentes
6321,Extrativistas e reflorestadores de espécies produtoras de madeira
6322,Extrativistas florestais de espécies produtoras de gomas e resinas
6323,"Extrativistas florestais de espécies produtoras de fibras, ceras e óleos"
6324,Extrativistas florestais de espécies produtoras de alimentos silvestres
6325,"Extrativistas florestais de espécies produtoras de substâncias aromáticas, medicinais e tóxicas"
6326,Carvoejadores
6410,Trabalhadores da mecanizaçăo agrícola
6420,Trabalhadores da mecanizaçăo florestal
6430,Trabalhadores da irrigaçăo e drenagem
7101,Supervisores da extraçăo mineral
7102,Supervisores da construçăo civil
7111,Trabalhadores da extraçăo de minerais sólidos
7112,Trabalhadores de extraçăo de minerais sólidos (operadores de máquinas)
7113,Trabalhadores da extraçăo de minerais líquidos e gasosos
7114,Garimpeiros e operadores de salinas
7121,Trabalhadores de beneficiamento de minérios
7122,Trabalhadores de beneficiamento de pedras ornamentais
7151,Trabalhadores na operaçăo de máquinas de terraplenagem e fundaçőes
7152,Trabalhadores de estruturas de alvenaria
7153,Montadores de estruturas de concreto armado
7154,Trabalhadores na operaçăo de máquinas de concreto usinado
7155,"Trabalhadores de montagem de estruturas de madeira, metal e compósitos em obras civis"
7156,Trabalhadores de instalaçőes elétricas
7157,Aplicadores de materiais isolantes
7161,Revestidores de concreto
7162,Telhadores (revestimentos rígidos)
7163,Vidraceiros (revestimentos rígidos)
7164,Gesseiros
7165,"Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras"
7166,Pintores de obras e revestidores de interiores (revestimentos flexíveis)
7170,Ajudantes de obras civis
7201,"Supervisores de usinagem, conformaçăo e tratamento de metais"
7202,Supervisores da fabricaçăo e montagem metalmecânica
7211,Ferramenteiros e afins
7212,Preparadores e operadores de máquinas-ferramenta convencionais
7213,Afiadores e polidores de metais
7214,Operadores de máquinas de usinagem cnc
7221,Trabalhadores de forjamento de metais
7222,Trabalhadores de fundiçăo de metais puros e de ligas metálicas
7223,Trabalhadores de moldagem de metais e de ligas metálicas
7224,Trabalhadores de trefilaçăo e estiramento de metais puros e ligas metálicas
7231,Trabalhadores de tratamento térmico de metais
7232,Trabalhadores de tratamento de superfícies de metais e de compósitos (termoquímicos)
7233,"Trabalhadores da pintura de equipamentos, veículos, estruturas metálicas e de compósitos"
7241,Encanadores e instaladores de tubulaçőes
7242,Trabalhadores de traçagem e montagem de estruturas metálicas e de compósitos
7243,Trabalhadores de soldagem e corte de ligas metálicas
7244,Trabalhadores de caldeiraria e serralheria
7245,Operadores de máquinas de conformaçăo de metais
7246,Trançadores e laceiros de cabos de aço
7250,Ajustadores mecânicos polivalentes
7251,"Montadores de máquinas, aparelhos e acessórios em linhas de montagem"
7252,Montadores de máquinas industriais
7253,Montadores de máquinas pesadas e equipamentos agrícolas
7254,Mecânicos montadores de motores e turboalimentadores
7255,Montadores de veículos automotores (linha de montagem)
7256,Montadores de sistemas e estruturas de aeronaves
7257,Instaladores de equipamentos de refrigeraçăo e ventilaçăo
7301,Supervisores de montagens e instalaçőes eletroeletrônicas
7311,Montadores de equipamentos eletroeletrônicos
7312,Montadores de aparelhos de telecomunicaçőes
7313,Instaladores-reparadores de  linhas e equipamentos de telecomunicaçőes
7321,"Instaladores e reparadores de linhas e cabos elétricos, telefônicos e de comunicaçăo de dados"
7401,Supervisores da mecânica de precisăo e instrumentos musicais
7411,Mecânicos de instrumentos de precisăo
7421,Confeccionadores de instrumentos musicais
7501,Supervisores de joalheria e afins
7502,"Supervisores de vidraria, cerâmica e afins"
7510,Joalheiros e lapidadores de gemas
7511,Artesăos de metais preciosos e semi-preciosos
7521,"Sopradores, moldadores e modeladores de vidros e afins"
7522,Trabalhadores da transformaçăo de vidros planos
7523,Ceramistas (preparaçăo e fabricaçăo)
7524,Vidreiros e ceramistas (arte e decoraçăo)
7601,Supervisores da indústria tęxtil
7602,Supervisores na indústria do curtimento
7603,Supervisores na confecçăo do vestuário
7604,Supervisores na confecçăo de calçados
7605,"Supervisores da confecçăo de artefatos de tecidos, couros e afins"
7606,Supervisores das artes gráficas
7610,Trabalhadores polivalentes das indústrias tęxteis
7611,Trabalhadores da classificaçăo de fibras tęxteis e lavagem de lă
7612,Operadores da fiaçăo
7613,Operadores de tear e máquinas similares
7614,"Trabalhadores de acabamento, tingimento e estamparia das indústrias tęxteis"
7618,Inspetores e revisores de produçăo tęxtil
7620,Trabalhadores polivalentes do curtimento de couros e peles
7621,Trabalhadores da preparaçăo do curtimento de couros e peles
7622,Trabalhadores do curtimento de couros e peles
7623,Trabalhadores do acabamento de couros e peles
7630,Profissionais polivalentes da confecçăo de roupas
7631,Trabalhadores da preparaçăo da confecçăo de roupas
7632,Operadores de máquinas para costura de peças do vestuário
7633,Operadores de máquinas para bordado e acabamento de roupas
7640,Trabalhadores polivalentes da confecçăo de calçados
7641,Trabalhadores da preparaçăo da confecçăo de calçados
7642,Operadores de máquinas de costurar e montar calçados
7643,Trabalhadores de acabamento de calçados
7650,Trabalhadores polivalentes da confecçăo de artefatos de tecidos e couros
7651,"Trabalhadores da preparaçăo de artefatos de tecidos, couros e tapeçaria"
7652,"Trabalhadores da confecçăo de artefatos de tecidos, couros e sintéticos"
7653,Operadores de máquinas na confecçăo de artefatos de  couro
7654,Trabalhadores do acabamento de artefatos de tecidos e couros
7661,Trabalhadores da pré-impressăo gráfica
7662,Trabalhadores da impressăo gráfica
7663,Trabalhadores do acabamento gráfico
7664,Trabalhadores de laboratório fotográfico e radiológico
7681,"Trabalhadores de tecelagem manual, tricô, crochę, rendas e afins"
7682,Trabalhadores artesanais da confecçăo de peças e tecidos
7683,Trabalhadores artesanais da confecçăo de calçados e artefatos de couros e peles
7686,Trabalhadores tipográficos linotipistas e afins
7687,Encadernadores e recuperadores de livros (pequenos lotes ou a unidade)
7701,"Supervisores em indústria de madeira, mobiliário e da carpintaria veicular"
7711,Marceneiros e afins
7721,Trabalhadores de tratamento e preparaçăo da madeira
7731,Operadores de máquinas de desdobramento da madeira
